,game_time,road_team,home_team,road_points,home_points,w_l,money_line_final,spread_init,spread_final,spread_w_l,spread_odds_final,totals_init,totals_final,totals_w_l,totals_odds_final,margin,margin_odds,expectedTotals0,expectedTotals1,totals_diff
85,2016-01-11 07:00:00,CLE,PHI,95,85,,,14.5,15.5,3,1.82,203.5,205.5,0,1.81,客6-10,3.85,206.63428571428574,200.65,2.8499999999999943
86,2016-01-12 08:30:00,SAS,BKN,106,79,,,14.5,14.5,0,1.75,193.5,193.5,0,1.75,客26+,5.55,206.1781578947368,194.85,-1.3499999999999943
87,2016-01-13 09:00:00,OKC,MIN,101,96,0.0,1.04,10.5,10.5,3,1.82,210.5,209.5,0,1.7,客1-5,5.1,211.35000000000002,206.4,4.099999999999994
88,2016-01-21 08:30:00,CLE,BKN,91,78,0.0,1.01,12.5,12.5,0,1.69,197.5,196.5,0,1.81,客11-15,3.65,204.35235394214408,197.05,0.44999999999998863
89,2016-01-22 11:30:00,SAS,PHX,117,89,0.0,1.01,13.5,16.5,0,1.82,200.5,199.5,3,1.75,客26+,4.0,211.09545454545457,196.45,4.050000000000011
90,2016-01-23 11:30:00,SAS,LAL,108,95,,,14.5,16.5,3,1.75,196.5,198.5,3,1.75,客11-15,3.75,210.76462450592885,193.7,2.8000000000000114
91,2016-01-25 08:30:00,OKC,BKN,106,116,3.0,6.5,12.5,13.5,3,1.75,206.5,206.5,3,1.7,主6-10,26.0,211.71188405797102,202.14999999999998,4.350000000000023
92,2016-01-31 06:00:00,GSW,PHI,108,105,,,16.5,17.5,3,1.75,217.5,217.5,0,1.81,客1-5,12.5,220.04166666666669,208.20000000000002,9.299999999999983
93,2016-02-20 11:30:00,SAS,LAL,119,113,0.0,1.06,13.5,10.5,3,1.69,204.5,200.5,3,1.75,客6-10,3.15,211.30788961038962,194.9,9.599999999999994
94,2016-02-22 06:00:00,SAS,PHX,118,111,0.0,1.02,12.5,13.5,3,1.75,205.5,204.5,3,1.75,客6-10,3.35,212.60789473684213,192.2,13.300000000000011
95,2016-03-07 04:30:00,GSW,LAL,95,112,,,16.5,17.5,3,1.75,219.5,219.5,0,1.75,主16-20,300.0,222.11779233870968,214.05,5.449999999999989
96,2016-03-09 09:00:00,SAS,MIN,116,91,0.0,1.06,10.5,10.5,0,1.82,206.5,206.5,3,1.75,客21-25,7.6,210.35192307692307,201.05,5.449999999999989
97,2016-03-11 11:30:00,CLE,LAL,120,108,0.0,1.06,10.5,9.5,0,1.69,207.5,211.5,3,1.75,客11-15,3.95,210.90265151515152,201.5,6.0
98,2016-03-19 07:00:00,OKC,PHI,111,97,,,15.5,15.5,3,1.82,220.5,219.5,0,1.75,客11-15,3.9,217.76683229813665,205.0,15.5
99,2016-03-21 06:00:00,BOS,PHI,120,105,0.0,1.05,10.5,10.5,0,1.75,215.5,214.5,3,1.7,客11-15,4.0,213.58591549295775,207.54999999999998,7.950000000000017
100,2016-03-22 08:00:00,GSW,MIN,109,104,0.0,1.01,11.5,12.5,3,1.82,230.5,231.5,0,1.81,客1-5,5.65,221.05285714285714,219.45000000000002,11.049999999999983
